id,title,cover,catalog_number,release_date,description,tracklist,genre,for_fans_of,bandcamp_url,bandcamp_id,internal,active,release_formats
1,Carbon Based,hmrl_001.jpg,HMRL001,2004-11-15,"In the case of ANALENA, one man’s hardcore is another man’s noise is another man’s punk. Diverse but steady, from bittersweet melodies and blistering hooks to pummeling and aggressive rhythms, ANALENA covers all the bases. Carbon Based is their’s second album, recorded and produced at Kozmo studio, Zagreb, by the members of the band themselves, with the noteworthy assistance provided by members of Lunar, another remarkable and friendly band from Zagreb. Carbon Based is a statement by a smart and mature band, an honest expression of determination and passion in full force. ANALENA follows its own instinct by merging charming melodies with intricate and shimmering rhythmic relentlessness. Stunning and flawless instrumentation combined with witty and poetic slogan-free lyrics takes care of the rest. See you in the pit or see you with your headphones on. You are invited. Until then, as the band itself proclaims in the moving Work In Progress: “Stay alert!”",1. Carbon Based Organisms<br>2. Dream Amplifiers<br>3. Work In Progress<br>4. Wiederholungszwang<br>5. Notturno<br>6. Spilt Milk<br>7. In Theory And Practice<br>8. From Automatic To Manual<br>9. Ropewalk Adventures<br>10. Rainy Night In Warsaw,"Postpunk, screamo, alternative","At The Drive-In, Yaphett Kotto, Pretty Girsl Makes Graves, Envy",https://moonleerecords.bandcamp.com/album/carbon-based,1343652965,1,1,"cd,lp,digital"
2,Turbo,hmrl_002.jpg,HMRL002,2004-11-29,,,"Post rock, instrumental rock","Mogwai, Karate",https://moonleerecords.bandcamp.com/album/turbo,2466586879,1,1,"cd,digital"
3,s/t,hmrl_003.jpg,HMRL003,2005-02-25,,,"Post rock, instrumental rock","Mogwai, Explosions In the Sky",https://moonleerecords.bandcamp.com/album/s-t,3404711410,1,1,"cd,lp,digital"
4,Deincubation,hmrl_004.jpg,HMRL004,2005-01-27,,,"Death metal, metal core",At The Gates,https://moonleerecords.bandcamp.com/album/deincubation,2198121077,1,1,"cd,digital"
5,This Bilk Is Radioactive,hmrl_005.jpg,HMRL005,2006-06-03,,1. Beyonce<br>2. Sunchano<br>3. Objects<br>4. Gone To Texas<br>5. Terminator<br>6. Phantom<br>7. Bloody Bill Anderson<br>8. R2D2,"Electronic, breakbeat, electro rock",,https://moonleerecords.bandcamp.com/album/this-bilk-is-radioactive,3423553635,1,1,"cd,digital"
6,Trust This Arcane Device,hmrl_006.jpg,HMRL006,2006-05-08,,"1. Thy Doom Ape<br>2. Zen Rock Majik<br>3. Iron Icon<br>4. The Throne Of Sasquatch Ascending<br>5. … And All Things, Either Good Or Ungood<br>6. Jethro<br>7. Bowels Of The Beast Of The Matriarchate<br>8. Le Charmeur De Serpents<br>9. Ondjage","Sludge, post metal, post hardcore, psychadelic rock","Neurosis, Converge, Today Is the Day, Kyuss",https://moonleerecords.bandcamp.com/album/trust-this-arcane-device,2162698928,1,1,"cd,digital"
7,We Are Electric!,hmrl_007.jpg,HMRL007,2006-05-08,,,Noise rock,"Girls Against Boys, Dischord",https://moonleerecords.bandcamp.com/album/we-are-electric,564830892,1,1,"cd,lp,digital"
8,The Acracy Discourse,hmrl_008.jpg,HMRL008,2007-02-05,,,"Hardcore, punk","His Hero Is Gone, Tragedy, Final Exit",https://moonleerecords.bandcamp.com/album/the-acracy-discourse,3164883478,1,1,"cd,digital"
9,Through The Eyes Of The Innocent,hmrl_009.jpg,HMRL009,2006-06-05,,,"Punk rock, melodic hardcore","Propagandhi, Descendents, Rise Against, Satanic Surfers",https://moonleerecords.bandcamp.com/album/through-the-eyes-of-the-innocent,3851503608,1,1,"cd,digital"
10,V2,hmrl_010.jpg,HMRL010,2006-11-20,,,"Electronic, experimental, post-rock, ambiental","EZ3kiel, Squarepusher, Tool",https://moonleerecords.bandcamp.com/album/v2,370775249,1,1,"cd,digital"
