release,format,source,buy_url,title
1,digital,internal,https://moonleerecords.bandcamp.com/album/carbon-based,Bandcamp
1,digital,external,https://itunes.apple.com/us/album/carbon-based/id165045328,iTunes
1,digital,external,http://www.deezer.com/album/1038088,Deezer
1,digital,external,https://open.spotify.com/album/1bgRrU9dxTBvYFKqPMpmRP,Spotify
1,digital,external,https://play.google.com/store/music/album/Analena_Carbon_Based?id=Bgbdaub7sfb6hmnodc2baqn2q2a&hl=en,Google Play Music
2,cd,internal,http://store.moonleerecords.com/lunar-turbo-cd.html,
2,digital,internal,https://moonleerecords.bandcamp.com/album/turbo,Bandcamp
2,digital,external,https://itunes.apple.com/us/album/dancefloor-zgaba/id165044667?i=165045075&ign-mpt=uo%3D4,iTunes
2,digital,external,http://www.deezer.com/album/1038092,Deezer
2,digital,external,https://open.spotify.com/album/44J2FTMdPDpl8NKXY17RTo,Spotify
2,digital,external,https://play.google.com/store/music/album/Lunar_Turbo?id=B2pwvjzh2ecq7xgvnmscuwhcaqy&hl=en,Google Play Music
3,cd,internal,http://store.moonleerecords.com/dmwt-st-cd.html,
3,digital,internal,https://moonleerecords.bandcamp.com/album/s-t,Bandcamp
3,digital,external,https://itunes.apple.com/ke/album/dont-mess-with-texas/id165046386,iTunes
3,digital,external,http://www.deezer.com/album/1038090,Deezer
3,digital,external,https://open.spotify.com/album/3rheoX5GjUNp1bglbePlkp,Spotify
3,digital,external,https://play.google.com/store/music/album/Don_t_Mess_With_Texas_Don_t_Mess_With_Texas?id=Bs64yahzawx5qy2h7nfu2hb2fda&hl=en,Google Play Music
4,cd,internal,http://store.moonleerecords.com/entreat-deincubation-cd.html,
4,digital,internal,https://moonleerecords.bandcamp.com/album/deincubation,Bandcamp
4,digital,external,https://itunes.apple.com/lk/album/deincubation/id165043361,iTunes
4,digital,external,http://www.deezer.com/album/1084441,Deezer
4,digital,external,https://open.spotify.com/album/47AxzTvjIryvYvvUuWoBSO,Spotify
4,digital,external,https://play.google.com/store/music/album/Entreat_Deincubation?id=Bwbp5cfpropofiktaaonzumuko4&hl=en,Google Play Music
5,cd,internal,http://store.moonleerecords.com/bilk-this-bilk-is-radioactive-cd.html,
5,digital,internal,https://moonleerecords.bandcamp.com/album/this-bilk-is-radioactive,Bandcamp
5,digital,external,https://itunes.apple.com/au/album/this-bilk-is-radio-active/id165038402,iTunes
5,digital,external,http://www.deezer.com/album/1038091,Deezer
5,digital,external,https://open.spotify.com/album/1oWCPVIu69EBGZJwzixqvj,Spotify
5,digital,external,https://play.google.com/store/music/album/Bilk_This_Bilk_Is_Radio_Active?id=Bdfn6nl3452qu2ttbp2uvhpa7mq&hl=en,Google Play Music
6,cd,internal,http://store.moonleerecords.com/chang-ffos-trust-this-arcane-device-cd.html,
6,lp,internal,http://store.moonleerecords.com/chang-ffos-trust-this-arcane-device-12inch-vinyl-1.html,
